art,bio,che,eng,fre,ger,spa,mat,mus,phy,soc,
127,70,124,106,113,65,90,119,198,94,81,
128,70,128,106,97,68,101,118,201,89,82,
129,64,131,105,113,65,87,122,201,99,78,
127,70,124,106,99,65,103,119,199,94,81,
128,70,128,106,111,68,88,118,201,89,82,
129,65,130,105,99,65,99,121,201,99,78,
127,70,124,106,113,65,90,119,199,94,81,
128,70,128,106,97,68,101,118,201,90,82,
129,65,130,105,113,66,87,121,201,98,78,
127,69,125,106,99,65,103,119,199,95,80,
128,70,128,106,111,68,88,118,201,90,82,
129,65,130,105,99,66,99,121,201,98,78,
128,69,125,106,113,65,90,119,199,95,80,
128,70,128,106,97,68,101,118,201,90,82,
129,65,130,105,113,66,87,121,201,97,78,
128,69,125,106,99,65,102,119,199,95,80,
128,70,127,106,111,68,88,118,201,90,82,
129,66,130,105,99,66,100,121,201,97,79,
128,69,125,105,113,65,89,119,199,95,80,
128,70,127,106,97,67,101,118,201,91,82,
129,66,130,105,113,66,87,121,201,97,79,
128,69,126,105,99,65,102,120,199,95,80,
128,70,127,106,111,67,88,119,201,91,82,
129,66,130,105,99,66,100,121,201,96,79,
128,69,126,105,113,66,89,120,199,95,80,
128,70,127,106,98,67,101,119,201,91,82,
129,66,130,105,113,66,87,120,201,96,79,
128,68,126,105,99,66,102,120,199,95,80,
128,70,127,106,112,67,89,119,201,91,82,
129,67,129,105,99,66,100,120,201,96,79,
128,68,126,105,113,66,89,120,199,95,80,
128,70,127,106,98,67,101,119,201,92,81,
128,67,129,105,113,66,88,120,201,96,79,
128,68,126,105,99,66,102,120,200,95,80,
128,70,127,106,112,67,89,119,200,92,81,
128,67,129,105,99,66,100,120,201,95,79,
128,68,127,105,113,66,89,120,200,95,80,
128,70,127,106,98,67,101,119,200,92,81,
128,67,129,105,112,66,88,120,201,95,79,
128,68,127,105,99,66,101,120,200,95,80,
128,70,127,106,112,67,89,119,200,92,81,
128,67,129,105,98,66,100,120,201,95,80,
128,68,127,105,113,66,89,120,200,95,80,
128,70,127,106,98,67,101,119,200,92,81,
128,67,129,105,112,66,88,120,201,95,80,
