art,bio,che,eng,fre,ger,spa,mat,mus,phy,soc,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,99,66,101,140,200,126,96,
128,103,127,126,112,66,89,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,113,66,88,140,200,126,96,
128,103,127,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,99,66,101,140,200,126,96,
128,103,127,126,112,66,89,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,113,66,88,140,200,126,96,
128,103,127,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,99,66,101,140,200,126,96,
128,103,127,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,113,66,88,140,200,126,96,
128,102,127,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,140,200,126,96,
128,102,127,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,140,200,126,96,
128,102,127,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,140,200,126,96,
128,102,127,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,140,200,126,96,
128,102,127,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,140,200,126,96,
128,102,127,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,140,200,126,96,
128,102,127,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,126,96,
128,102,127,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,126,96,
128,102,127,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,126,96,
128,102,127,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,126,96,
128,102,127,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,126,96,
128,102,127,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,126,96,
128,102,127,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,126,96,
128,102,127,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,126,96,
128,102,127,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,126,96,
128,102,127,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,126,96,
128,102,127,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
