art,bio,che,eng,fre,ger,spa,mat,mus,phy,soc,
128,69,95,105,113,66,89,120,199,95,96,
128,70,95,106,98,67,101,119,201,91,98,
129,66,97,105,113,66,87,120,201,96,95,
128,68,95,105,99,66,102,120,199,95,96,
128,70,95,106,112,67,89,119,201,91,98,
129,67,97,105,99,66,100,120,201,96,95,
128,68,95,105,113,66,89,120,199,95,96,
128,70,95,106,98,67,101,119,201,92,98,
128,67,97,105,113,66,88,120,201,96,95,
128,68,95,105,99,66,102,120,200,95,96,
128,70,95,106,112,67,89,119,200,92,98,
128,67,97,105,99,66,100,120,201,95,95,
128,68,95,105,113,66,89,120,200,95,96,
128,70,95,106,98,67,101,119,200,92,97,
128,67,97,105,112,66,88,120,201,95,95,
128,68,95,105,99,66,101,120,200,95,96,
128,70,95,106,112,67,89,119,200,92,97,
128,67,97,105,98,66,100,120,201,95,95,
128,68,95,105,113,66,89,120,200,95,96,
128,70,95,106,98,67,101,119,200,92,97,
128,67,97,105,112,66,88,120,201,95,95,
128,68,95,105,99,66,101,120,200,95,96,
128,69,95,106,112,67,89,119,200,92,97,
128,67,97,105,98,66,100,120,201,95,96,
128,68,95,105,113,66,89,120,200,95,96,
128,69,95,106,98,67,101,119,200,93,97,
128,67,97,105,112,66,88,120,201,95,96,
128,68,95,105,99,66,101,120,200,95,96,
128,69,95,106,112,67,89,119,200,93,97,
128,68,97,105,98,66,100,120,201,95,96,
128,68,95,105,113,66,89,120,200,95,96,
128,69,95,106,98,67,101,119,200,93,97,
128,68,97,105,112,66,88,120,201,95,96,
128,68,96,105,99,66,101,120,200,95,96,
128,69,95,106,112,67,89,119,200,93,97,
128,68,96,105,98,66,100,120,201,94,96,
128,68,96,105,113,66,89,120,200,95,96,
128,69,95,106,98,67,101,119,200,93,97,
128,68,96,105,112,66,88,120,201,94,96,
128,68,96,105,99,66,101,120,200,95,96,
128,69,95,106,112,67,89,119,200,93,97,
128,68,96,105,98,66,100,120,201,94,96,
128,68,96,105,113,66,88,120,200,95,96,
128,69,95,106,98,67,101,119,200,93,97,
128,68,96,105,112,66,88,120,201,94,96,
128,68,96,105,99,66,101,120,200,95,96,
128,69,95,106,112,66,89,119,200,93,97,
128,68,96,105,98,66,101,120,201,94,96,
128,68,96,105,113,66,88,120,200,95,96,
128,69,95,106,98,66,101,119,200,93,97,
128,68,96,105,112,66,88,120,201,94,96,
128,68,96,105,99,66,101,120,200,95,96,
128,69,95,106,112,66,89,119,200,93,97,
128,68,96,105,98,66,101,120,201,94,96,
128,68,96,105,113,66,88,120,200,95,96,
128,69,95,105,98,66,101,119,200,94,97,
128,68,96,105,112,66,88,120,201,94,96,
128,68,96,105,99,66,101,120,200,95,96,
128,69,95,105,112,66,89,119,200,94,97,
128,68,96,105,98,66,101,120,201,94,96,
128,68,96,105,113,66,88,120,200,95,96,
128,69,95,105,98,66,101,119,200,94,96,
128,68,96,105,112,66,88,120,200,94,96,
128,68,96,105,99,66,101,120,200,95,96,
128,69,96,105,112,66,89,119,200,94,96,
128,68,96,105,98,66,101,120,200,94,96,
128,68,96,105,113,66,88,120,200,95,96,
128,69,96,105,98,66,101,119,200,94,96,
128,68,96,105,112,66,88,120,200,94,96,
128,68,96,105,99,66,101,120,200,95,96,
128,69,96,105,112,66,89,119,200,94,96,
128,68,96,105,98,66,101,120,200,94,96,
128,68,96,105,113,66,88,120,200,95,96,
128,69,96,105,98,66,101,119,200,94,96,
128,68,96,105,112,66,88,120,200,94,96,
128,68,96,105,99,66,101,120,200,95,96,
128,69,96,105,112,66,89,119,200,94,96,
128,68,96,105,98,66,101,120,200,94,96,
128,68,96,105,113,66,88,120,200,95,96,
128,69,96,105,98,66,101,119,200,94,96,
128,68,96,105,112,66,88,120,200,94,96,
128,68,96,105,99,66,101,120,200,95,96,
128,69,96,105,112,66,88,119,200,94,96,
128,68,96,105,98,66,101,120,200,94,96,
128,68,96,105,113,66,88,120,200,95,96,
128,68,96,105,98,66,101,119,200,94,96,
128,68,96,105,112,66,88,120,200,94,96,
128,68,96,105,98,66,101,120,200,95,96,
